№	УИК	Страна	Город	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Даванков Владислав Андреевич	Даванков Владислав Андреевич (%)	Путин Владимир Владимирович	Путин Владимир Владимирович (%)	Слуцкий Леонид Эдуардович	Слуцкий Леонид Эдуардович (%)	Харитонов Николай Михайлович	Харитонов Николай Михайлович (%)
209	8302	Уругвай	Монтевидео	181	250	0	181	0	69	0	181	17	164	0	0	78	43,09	78	43,09	3	1,66	5	2,76
210	8304	Финляндия	Хельсинки	3452	5000	0	3447	5	1548	5	3445	649	2801	0	0	1563	45,3	1127	32,67	48	1,39	63	1,83
211	8308	Франция	Париж	3658	5500	0	3658	0	1842	0	3644	739	2905	0	0	1390	38,14	1348	36,99	57	1,56	110	3,02
212	8313	Франция	Марсель	506	1500	0	506	0	994	0	506	78	428	0	0	145	28,66	261	51,58	12	2,37	10	1,98
213	8314	Франция	Страсбург	1268	1500	0	1268	0	232	0	1267	220	1047	0	0	478	37,73	531	41,91	14	1,1	24	1,89
214	8315	Германия	Берлин	3288	10000	0	3275	0	6725	0	3275	529	2746	0	0	1217	37,16	1441	44	29	0,89	59	1,8
215	8322	Германия	Бонн	5071	10000	0	5071	0	4929	0	5071	667	4404	0	0	1005	19,82	3301	65,1	31	0,61	67	1,32
216	8326	Хорватия	Загреб	328	600	0	328	0	272	0	328	54	274	0	0	158	48,17	102	31,1	5	1,52	9	2,74
217	8327	Центральноафриканская Республика (ЦАР)	Банги	179	1950	0	179	0	1771	0	179	2	177	0	0	10	5,59	162	90,5	2	1,12	3	1,68
218	8328	Чад	Нджамена	20	50	0	20	0	30	0	20	0	20	0	0	0	0	19	95	0	0	1	5
219	8329	Черногория	Подгорица	1500	1500	0	1500	0	0	0	1498	289	1209	0	0	1032	68,89	126	8,41	21	1,4	30	2
220	8330	Чехия	Прага	1647	10700	0	1647	0	9053	0	1633	348	1285	0	0	978	59,89	256	15,68	27	1,65	24	1,47
221	8333	Чили	Сантьяго	317	1000	0	317	0	683	0	317	14	303	0	0	89	28,08	193	60,88	9	2,84	12	3,79
222	8334	Швейцария	Берн	1286	1500	0	1286	0	214	0	1276	228	1048	0	0	479	37,54	519	40,67	20	1,57	30	2,35
223	8335	Швейцария	Женева	1695	2200	0	1690	5	505	5	1690	283	1412	0	0	497	29,32	841	49,62	33	1,95	41	2,42
224	8336	Швеция	Стокгольм	1191	2000	0	1190	1	809	1	1189	247	943	0	0	465	39,08	448	37,65	13	1,09	17	1,43
225	8338	Шри-Ланка и Мальдивы	Коломбо	273	600	0	273	0	327	0	273	36	237	0	0	92	33,7	132	48,35	8	2,93	5	1,83
226	8339	Эквадор	Кито	206	250	0	206	0	44	0	206	7	199	0	0	51	24,76	139	67,48	4	1,94	5	2,43
227	8340	Эквадор	Гуаякиль	60	100	0	60	0	40	0	59	2	57	0	0	10	16,95	44	74,58	2	3,39	1	1,69
228	8341	Эритрея	Асмэра	24	50	0	22	0	28	0	22	2	20	0	0	0	0	20	90,91	0	0	0	0
229	8345	Эстония	Таллин	2438	3000	0	2415	23	562	23	2414	224	2213	0	0	311	12,76	1833	75,22	19	0,78	50	2,05
230	8351	Эфиопия	Адис-Абеба	213	300	0	213	0	87	0	213	4	209	0	0	20	9,39	175	82,16	7	3,29	7	3,29
231	8352	Южно-Африканская Республика и Лесото	Претория	412	950	21	391	0	538	21	391	10	402	0	0	63	15,29	323	78,4	10	2,43	6	1,46
232	8353	Южно-Африканская Республика и Лесото	Кейптаун	349	500	13	258	78	151	91	258	36	313	0	0	97	27,79	198	56,73	12	3,44	6	1,72
233	8354	Южная Осетия	Цхинвал	2124	3150	0	1833	291	1026	291	1832	23	2100	0	0	25	1,18	2052	96,66	8	0,38	15	0,71
234	8355	Южная Осетия	Цхинвал	858	1500	0	841	17	642	17	841	8	850	0	0	4	0,47	840	97,9	2	0,23	4	0,47
235	8356	Южная Осетия	Цхинвал	2676	3000	0	2639	37	324	37	2639	17	2659	0	0	12	0,45	2617	97,8	4	0,15	26	0,97
236	8357	Южная Осетия	Цхинвал	2363	2500	0	2342	21	137	21	2342	14	2349	0	0	10	0,42	2293	97,04	8	0,34	38	1,61
237	8359	Южная Осетия	Цхинвал	1589	2500	0	747	842	911	842	747	154	1435	0	0	7	0,44	1421	89,43	5	0,31	2	0,13
238	8360	Южная Осетия	Цхинвал	2421	2500	0	2393	28	79	28	2393	21	2400	0	0	37	1,53	2316	95,66	19	0,78	28	1,16
239	8361	Южная Осетия	пос. Знаур	1150	1500	285	847	18	350	303	847	15	1135	0	0	13	1,13	1087	94,52	21	1,83	14	1,22
240	8362	Южная Осетия	пос. Дзау	1098	1500	69	916	113	402	182	916	0	1098	0	0	9	0,82	1066	97,09	11	1	12	1,09
241	8363	Южная Осетия	пос. Ленингор	709	1000	261	281	167	291	428	281	4	705	0	0	14	1,97	663	93,51	18	2,54	10	1,41
242	8364	Южная Осетия	пос. Дменис	670	1500	207	258	205	830	412	258	4	666	0	0	16	2,39	631	94,18	11	1,64	8	1,19
243	8365	Южная Осетия	Квайс	502	1000	89	336	77	498	166	336	5	497	0	0	11	2,19	467	93,03	8	1,59	11	2,19
244	8366	Ямайка	Кингстон	44	100	0	41	3	56	3	40	1	42	0	0	9	20,93	28	65,12	2	4,65	3	6,98
245	8367	Япония	Токио	1111	2775	0	1111	0	1664	0	1111	135	976	0	0	436	39,24	490	44,1	18	1,62	32	2,88
246	8368	Япония	Ниигата	90	345	0	90	0	255	0	90	2	88	0	0	20	22,22	64	71,11	2	2,22	2	2,22
247	8369	Япония	Тоёнака	215	300	0	215	0	85	0	215	25	190	0	0	90	41,86	84	39,07	5	2,33	11	5,12
248	8370	Япония	Саппоро	72	100	0	72	0	28	0	72	5	67	0	0	19	26,39	41	56,94	2	2,78	5	6,94
249	8371	Узбекистан	Самарканд	516	2500	0	472	44	1984	44	472	45	471	0	0	123	23,84	335	64,92	7	1,36	6	1,16
250	8373	Франция	Вильфранш-сюр-Мер	558	1500	0	558	0	942	0	557	85	472	0	0	163	29,26	280	50,27	15	2,69	14	2,51
251	8380	Таиланд	Пхукет	4570	5500	0	4570	0	930	0	4567	358	4209	0	0	1778	38,93	2203	48,24	137	2,99	91	1,99
252	8383	Саудовская Аравия	Джидда	204	215	0	204	0	11	0	204	5	199	0	0	32	15,69	156	76,47	3	1,47	8	3,92
253	8386	Южная Осетия	Цхинвал	677	1000	0	412	265	323	265	412	13	664	0	0	2	0,3	656	96,9	0	0	6	0,89
254	8388	Соединенные Штаты Америки	Вашингтон	969	6000	0	969	0	5031	0	969	129	840	0	0	271	27,97	532	54,9	13	1,34	24	2,48
255	8397	Абхазия	с. Лыхны	960	4000	0	960	0	3040	0	960	21	939	0	0	5	0,52	933	97,19	0	0	1	0,1
256	8402	Филиппины и Палау	Манила	192	550	0	190	0	360	0	190	15	175	0	0	68	35,79	97	51,05	4	2,11	6	3,16
257	8405	Абхазия	Новый Афон	777	3000	0	777	0	2223	0	777	11	766	0	0	11	1,42	741	95,37	5	0,64	9	1,16
258	8407	КНР	Харбин	291	1000	0	282	0	718	0	282	13	269	0	0	85	30,14	151	53,55	10	3,55	23	8,16
259	8409	Белоруссия	Гродно	1108	3000	0	1101	7	1892	7	1101	18	1090	0	0	61	5,51	985	88,9	16	1,44	28	2,53
260	8415	Абхазия	Эшера	713	4500	0	713	0	3787	0	713	28	685	0	0	6	0,84	664	93,13	5	0,7	10	1,4
261	8419	Абхазия	пос. Агудзера	1449	4700	0	1449	0	3251	0	1448	85	1363	0	0	21	1,45	1314	90,75	13	0,9	15	1,04
262	8420	Абхазия	с. Дранда	1571	4700	0	1561	10	3129	10	1561	65	1506	0	0	23	1,46	1464	93,19	4	0,25	15	0,95
263	8421	Иран	Дашт-е Аббас	35	130	0	35	0	95	0	35	1	34	0	0	5	14,29	28	80	1	2,86	0	0
264	8422	Абхазия	Сухум	1173	4000	0	1170	3	2827	3	1170	31	1142	0	0	2	0,17	1136	96,85	0	0	4	0,34
265	8424	Абхазия	Сухум	937	4000	0	933	4	3063	4	933	43	894	0	0	11	1,17	871	92,96	5	0,53	7	0,75
266	8427	Абхазия	с. Адзюбжа	625	4000	0	613	12	3375	12	613	13	612	0	0	9	1,44	598	95,68	0	0	5	0,8
267	8430	Абхазия	Сухум	742	4000	0	737	5	3258	5	737	27	715	0	0	12	1,62	695	93,67	3	0,4	5	0,67
268	8431	Абхазия	Гагра	1694	4000	0	1694	0	2306	0	1693	59	1634	0	0	26	1,54	1583	93,5	9	0,53	16	0,95
269	8434	Абхазия	Очамчира	1891	4000	241	1633	17	2109	258	1633	59	1832	0	0	24	1,27	1778	94,02	12	0,63	18	0,95
270	8435	Абхазия	с. Акуаскиа	468	3000	0	452	16	2532	16	452	19	449	0	0	2	0,43	444	94,87	1	0,21	2	0,43
271	8437	Абхазия	Ткуарчал	1546	4600	0	1465	81	3054	81	1465	53	1493	0	0	15	0,97	1466	94,83	4	0,26	8	0,52
272	8438	Ливия	Триполи	78	350	18	60	0	272	18	60	0	78	0	0	5	6,41	67	85,9	2	2,56	4	5,13
273	8439	Кипр	Никосия	10403	13000	0	10401	2	2597	2	10381	951	9432	0	0	322	3,1	8045	77,48	613	5,9	452	4,35
274	8442	Абхазия	с. Калдахуара	570	4000	0	570	0	3430	0	570	28	542	0	0	6	1,05	522	91,58	4	0,7	10	1,75
275	8443	Абхазия	Гал	1114	1500	772	342	0	386	772	342	24	1090	0	0	50	4,49	966	86,71	34	3,05	40	3,59
276	8444	Абхазия	с. Приморское	451	4000	0	451	0	3549	0	451	10	441	0	0	7	1,55	425	94,24	5	1,11	4	0,89
277	8445	Абхазия	с. Гумиста	721	4000	0	721	0	3279	0	721	24	697	0	0	7	0,97	681	94,45	2	0,28	7	0,97
278	8447	Абхазия	с. Мачара	1121	4000	0	1121	0	2879	0	1121	32	1089	0	0	8	0,71	1065	95	5	0,45	11	0,98
279	8448	Абхазия	с. Кутол	605	4000	0	583	22	3395	22	583	8	597	0	0	4	0,66	588	97,19	1	0,17	4	0,66
280	8449	Абхазия	с. Члоу	512	4000	0	490	22	3488	22	490	23	489	0	0	4	0,78	485	94,73	0	0	0	0
